

TIME =   1.000e+00

Nodal Displacements

 Node          U1          U2          U3
 -9.795e+01  -4.066e+01   3.668e+02  -4.407e+01  -2.403e+01   2.227e+01
  4.197e+02  -8.375e+02   2.024e+02   9.968e+00  -4.165e+02  -4.752e+02
  6.926e+02  -1.258e+03   1.153e+02   3.847e+01  -6.211e+02  -7.355e+02
Element    12
 -7.529e+02   1.300e+03   4.800e+02  -1.380e+01   6.406e+02   7.175e+02
 -4.723e+02   8.885e+02   4.264e+02   6.832e+00   4.208e+02   4.616e+02
  5.973e+01   1.076e+02   3.249e+02   4.594e+01   8.908e+00  -1.927e+01
  5.917e+02  -6.733e+02   2.234e+02   8.505e+01  -3.969e+02  -4.948e+02
  8.723e+02  -1.085e+03   1.699e+02   1.057e+02  -6.086e+02  -7.435e+02
Element    13
 -1.583e+02   1.527e+03   7.349e+02  -9.214e+02   6.990e+02   6.762e+02
 -1.347e+02   9.801e+02   5.595e+02  -6.196e+02   4.514e+02   4.488e+02
 -9.036e+01  -5.699e+01   2.266e+02  -4.769e+01  -1.149e+01   1.905e+01
 -4.624e+01  -1.094e+03  -1.069e+02   5.243e+02  -4.660e+02  -4.089e+02
 -2.306e+01  -1.642e+03  -2.830e+02   8.260e+02  -7.023e+02  -6.340e+02
Element    14
 -6.648e+01   1.706e+03   6.375e+02  -8.206e+02   6.905e+02   5.682e+02
 -2.867e+01   1.157e+03   4.821e+02  -5.240e+02   4.542e+02   3.622e+02
  4.299e+01   1.155e+02   1.875e+02   3.826e+01   1.278e+01  -2.669e+01
  1.147e+02  -9.257e+02  -1.070e+02   6.005e+02  -4.200e+02  -4.136e+02
  1.525e+02  -1.475e+03  -2.624e+02   8.971e+02  -6.448e+02  -6.168e+02
Element    15
  9.040e+02   1.478e+03   8.684e+02  -1.540e+03   7.410e+02   5.166e+02
  5.588e+02   9.408e+02   5.975e+02  -1.022e+03   4.807e+02   3.437e+02
 -9.551e+01  -7.814e+01   8.372e+01  -4.081e+01  -5.509e+00   1.421e+01
 -7.500e+02  -1.097e+03  -4.302e+02   9.403e+02  -4.822e+02  -3.176e+02
 -1.095e+03  -1.635e+03  -7.014e+02   1.458e+03  -7.299e+02  -4.935e+02
Element    16
  9.643e+02   1.692e+03   8.380e+02  -1.475e+03   6.659e+02   4.069e+02
  6.359e+02   1.143e+03   5.743e+02  -9.552e+02   4.364e+02   2.591e+02
  1.339e+01   1.045e+02   7.439e+01   3.024e+01   9.057e+00  -2.271e+01
 -6.091e+02  -9.344e+02  -4.255e+02   1.016e+03  -4.083e+02  -3.064e+02
 -9.375e+02  -1.483e+03  -6.892e+02   1.536e+03  -6.244e+02  -4.568e+02
Element    17
  2.152e+03   1.145e+03   1.038e+03  -1.824e+03   7.057e+02   3.439e+02
  1.376e+03   7.221e+02   6.734e+02  -1.204e+03   4.588e+02   2.297e+02
 -9.662e+01  -8.034e+01  -1.776e+01  -2.723e+01  -2.273e+00   8.411e+00
 -1.569e+03  -8.827e+02  -7.089e+02   1.149e+03  -4.542e+02  -2.192e+02
 -2.345e+03  -1.306e+03  -1.073e+03   1.770e+03  -6.889e+02  -3.419e+02
Element    18
  2.190e+03   1.343e+03   1.056e+03  -1.806e+03   5.762e+02   2.531e+02
  1.428e+03   9.068e+02   6.905e+02  -1.176e+03   3.762e+02   1.623e+02
 -1.669e+01   7.983e+01  -2.218e+00   1.875e+01   4.541e+00  -1.442e+01
 -1.461e+03  -7.471e+02  -6.949e+02   1.213e+03  -3.572e+02  -1.971e+02
 -2.224e+03  -1.183e+03  -1.060e+03   1.844e+03  -5.441e+02  -2.959e+02
Element    19
  3.370e+03   6.645e+02   1.212e+03  -1.699e+03   5.996e+02   1.893e+02
  2.174e+03   4.082e+02   7.675e+02  -1.118e+03   3.897e+02   1.281e+02
 -9.418e+01  -7.764e+01  -7.564e+01  -1.784e+01  -2.505e+00   4.408e+00
 -2.362e+03  -5.634e+02  -9.187e+02   1.083e+03  -3.873e+02  -1.292e+02
 -3.558e+03  -8.197e+02  -1.363e+03   1.663e+03  -5.872e+02  -2.037e+02
Element    20
  3.390e+03   8.433e+02   1.253e+03  -1.724e+03   4.212e+02   1.172e+02
  2.206e+03   5.731e+02   8.045e+02  -1.125e+03   2.741e+02   7.594e+01
 -3.834e+01   6.079e+01  -4.542e+01   1.021e+01   1.643e+00  -9.681e+00
 -2.282e+03  -4.515e+02  -8.953e+02   1.146e+03  -2.623e+02  -1.049e+02
 -3.466e+03  -7.217e+02  -1.344e+03   1.745e+03  -3.982e+02  -1.590e+02
Element    21
  4.326e+03   2.229e+02   1.351e+03  -1.180e+03   4.292e+02   6.955e+01
  2.803e+03   1.223e+02   8.501e+02  -7.755e+02   2.790e+02   4.964e+01
 -8.398e+01  -6.843e+01  -1.001e+02  -8.978e+00  -2.134e+00   2.350e+00
 -2.971e+03  -2.591e+02  -1.050e+03   7.576e+02  -2.786e+02  -5.746e+01
 -4.494e+03  -3.597e+02  -1.551e+03   1.162e+03  -4.226e+02  -9.406e+01
Element    22
