

TIME =   1.000e-01

Nodal Displacements

 Node          U1          U2          U3
  172   3.666e-02  -1.468e-01  -5.953e-01
  173   2.253e-02  -1.738e-01  -6.421e-01
  174   1.222e-02  -1.987e-01  -6.828e-01
  175   5.500e-03  -2.199e-01  -7.160e-01
  176   1.814e-03  -2.361e-01  -7.407e-01
  177   3.280e-04  -2.463e-01  -7.558e-01
  178   0.000e+00  -2.498e-01  -7.609e-01
  179   1.720e-01  -3.358e-04  -2.405e-01
  180   1.642e-01  -1.852e-03  -2.555e-01
  181   1.519e-01  -5.586e-03  -2.796e-01
  182   1.360e-01  -1.230e-02  -3.117e-01
  183   1.177e-01  -2.244e-02  -3.504e-01
  184   9.812e-02  -3.606e-02  -3.940e-01
  185   7.851e-02  -5.289e-02  -4.408e-01
  186   5.992e-02  -7.233e-02  -4.888e-01
  187   4.324e-02  -9.351e-02  -5.364e-01
  188   2.910e-02  -1.154e-01  -5.817e-01
  189   1.790e-02  -1.367e-01  -6.232e-01
  190   9.719e-03  -1.564e-01  -6.593e-01
  191   4.389e-03  -1.731e-01  -6.888e-01
  192   1.461e-03  -1.859e-01  -7.106e-01
  193   2.739e-04  -1.940e-01  -7.241e-01
  194   0.000e+00  -1.967e-01  -7.286e-01
  195   1.327e-01  -2.731e-04  -2.734e-01
  196   1.267e-01  -1.441e-03  -2.862e-01
  197   1.173e-01  -4.291e-03  -3.068e-01
  198   1.052e-01  -9.425e-03  -3.344e-01
  199   9.113e-02  -1.719e-02  -3.677e-01
  200   7.607e-02  -2.766e-02  -4.053e-01
  201   6.094e-02  -4.062e-02  -4.457e-01
  202   4.656e-02  -5.563e-02  -4.874e-01
  203   3.363e-02  -7.201e-02  -5.286e-01
  204   2.266e-02  -8.893e-02  -5.680e-01
  205   1.395e-02  -1.055e-01  -6.041e-01
  206   7.594e-03  -1.207e-01  -6.356e-01
  207   3.445e-03  -1.336e-01  -6.613e-01
  208   1.163e-03  -1.435e-01  -6.803e-01
  209   2.276e-04  -1.498e-01  -6.920e-01
  210   0.000e+00  -1.519e-01  -6.960e-01
  211   9.996e-02  -2.215e-04  -3.051e-01
  212   9.554e-02  -1.107e-03  -3.158e-01
  213   8.854e-02  -3.245e-03  -3.332e-01
  214   7.945e-02  -7.091e-03  -3.564e-01
  215   6.891e-02  -1.291e-02  -3.845e-01
  216   5.760e-02  -2.077e-02  -4.163e-01
  217   4.619e-02  -3.053e-02  -4.506e-01
  218   3.533e-02  -4.184e-02  -4.860e-01
  219   2.555e-02  -5.420e-02  -5.211e-01
  220   1.724e-02  -6.699e-02  -5.546e-01
  221   1.064e-02  -7.950e-02  -5.854e-01
  222   5.810e-03  -9.100e-02  -6.122e-01
  223   2.654e-03  -1.008e-01  -6.342e-01
  224   9.116e-04  -1.083e-01  -6.504e-01
  225   1.882e-04  -1.130e-01  -6.604e-01
  226   0.000e+00  -1.146e-01  -6.638e-01
  227   7.328e-02  -1.786e-04  -3.351e-01
  228   7.008e-02  -8.369e-04  -3.439e-01
  229   6.499e-02  -2.405e-03  -3.582e-01
  230   5.837e-02  -5.214e-03  -3.774e-01
  231   5.068e-02  -9.464e-03  -4.006e-01
  232   4.241e-02  -1.521e-02  -4.269e-01
  233   3.405e-02  -2.235e-02  -4.553e-01
  234   2.608e-02  -3.064e-02  -4.847e-01
  235   1.889e-02  -3.971e-02  -5.139e-01
  236   1.277e-02  -4.910e-02  -5.418e-01
  237   7.898e-03  -5.829e-02  -5.674e-01
  238   4.335e-03  -6.674e-02  -5.898e-01
  239   1.999e-03  -7.394e-02  -6.081e-01
  240   7.012e-04  -7.944e-02  -6.216e-01
  241   1.543e-04  -8.288e-02  -6.300e-01
  242   0.000e+00  -8.406e-02  -6.328e-01
  243   5.201e-02  -1.437e-04  -3.630e-01
  244   4.976e-02  -6.238e-04  -3.701e-01
  245   4.617e-02  -1.743e-03  -3.816e-01
  246   4.151e-02  -3.734e-03  -3.970e-01
  247   3.607e-02  -6.746e-03  -4.157e-01
  248   3.022e-02  -1.081e-02  -4.369e-01
  249   2.429e-02  -1.587e-02  -4.598e-01
  250   1.863e-02  -2.175e-02  -4.835e-01
  251   1.352e-02  -2.819e-02  -5.072e-01
  252   9.162e-03  -3.485e-02  -5.298e-01
  253   5.691e-03  -4.137e-02  -5.505e-01
  254   3.144e-03  -4.737e-02  -5.687e-01
  255   1.469e-03  -5.249e-02  -5.835e-01
  256   5.311e-04  -5.639e-02  -5.945e-01
  257   1.261e-04  -5.884e-02  -6.013e-01
  258   0.000e+00  -5.967e-02  -6.036e-01
  259   3.552e-02  -1.169e-04  -3.884e-01
  260   3.399e-02  -4.610e-04  -3.940e-01
  261   3.156e-02  -1.236e-03  -4.029e-01
  262   2.839e-02  -2.602e-03  -4.149e-01
  263   2.470e-02  -4.657e-03  -4.295e-01
  264   2.071e-02  -7.430e-03  -4.461e-01
  265   1.668e-02  -1.088e-02  -4.640e-01
  266   1.282e-02  -1.488e-02  -4.825e-01
  267   9.323e-03  -1.926e-02  -5.010e-01
  268   6.343e-03  -2.380e-02  -5.187e-01
  269   3.964e-03  -2.825e-02  -5.350e-01
  270   2.213e-03  -3.234e-02  -5.493e-01
  271   1.055e-03  -3.582e-02  -5.609e-01
  272   3.984e-04  -3.848e-02  -5.695e-01
  273   1.042e-04  -4.015e-02  -5.749e-01
  274   0.000e+00  -4.071e-02  -5.767e-01
  275   2.323e-02  -9.351e-05  -4.109e-01
  276   2.223e-02  -3.336e-04  -4.150e-01
  277   2.066e-02  -8.523e-04  -4.217e-01
  278   1.860e-02  -1.752e-03  -4.307e-01
  279   1.619e-02  -3.099e-03  -4.417e-01
  280   1.360e-02  -4.910e-03  -4.542e-01
  281   1.097e-02  -7.158e-03  -4.677e-01
  282   8.450e-03  -9.767e-03  -4.817e-01
  283   6.167e-03  -1.262e-02  -4.956e-01
  284   4.216e-03  -1.558e-02  -5.090e-01
  285   2.654e-03  -1.848e-02  -5.213e-01
  286   1.500e-03  -2.114e-02  -5.320e-01
  287   7.322e-04  -2.341e-02  -5.408e-01
  288   2.896e-04  -2.514e-02  -5.474e-01
  289   8.308e-05  -2.622e-02  -5.514e-01
  290   0.000e+00  -2.659e-02  -5.527e-01
  291   1.462e-02  -6.813e-05  -4.298e-01
  292   1.400e-02  -2.273e-04  -4.328e-01
  293   1.302e-02  -5.596e-04  -4.376e-01
  294   1.173e-02  -1.129e-03  -4.441e-01
  295   1.022e-02  -1.976e-03  -4.521e-01
  296   8.595e-03  -3.114e-03  -4.611e-01
  297   6.943e-03  -4.524e-03  -4.708e-01
  298   5.359e-03  -6.160e-03  -4.809e-01
  299   3.922e-03  -7.951e-03  -4.910e-01
  300   2.692e-03  -9.806e-03  -5.007e-01
  301   1.705e-03  -1.162e-02  -5.096e-01
  302   9.730e-04  -1.329e-02  -5.174e-01
  303   4.833e-04  -1.472e-02  -5.237e-01
  304   1.977e-04  -1.580e-02  -5.285e-01
  305   6.005e-05  -1.648e-02  -5.314e-01
  306   0.000e+00  -1.672e-02  -5.324e-01
  307   8.870e-03  -7.452e-05  -4.456e-01
  308   8.505e-03  -2.013e-04  -4.476e-01
  309   7.924e-03  -4.271e-04  -4.509e-01
  310   7.165e-03  -7.893e-04  -4.553e-01
  311   6.276e-03  -1.311e-03  -4.607e-01
  312   5.313e-03  -1.999e-03  -4.668e-01
  313   4.332e-03  -2.843e-03  -4.734e-01
  314   3.387e-03  -3.817e-03  -4.802e-01
  315   2.523e-03  -4.879e-03  -4.871e-01
  316   1.778e-03  -5.976e-03  -4.936e-01
  317   1.172e-03  -7.048e-03  -4.997e-01
  318   7.119e-04  -8.033e-03  -5.050e-01
  319   3.913e-04  -8.872e-03  -5.093e-01
  320   1.890e-04  -9.512e-03  -5.125e-01
  321   7.205e-05  -9.914e-03  -5.145e-01
  322   0.000e+00  -1.005e-02  -5.152e-01
  323   8.113e-03   3.390e-05  -4.454e-01
  324   7.752e-03   1.299e-05  -4.474e-01
  325   7.177e-03  -1.128e-04  -4.507e-01
  326   6.428e-03  -3.819e-04  -4.551e-01
  327   5.555e-03  -8.202e-04  -4.605e-01
  328   4.615e-03  -1.435e-03  -4.667e-01
  329   3.664e-03  -2.217e-03  -4.733e-01
  330   2.757e-03  -3.139e-03  -4.803e-01
  331   1.943e-03  -4.160e-03  -4.871e-01
  332   1.256e-03  -5.225e-03  -4.938e-01
  333   7.183e-04  -6.274e-03  -4.999e-01
  334   3.363e-04  -7.242e-03  -5.052e-01
  335   1.021e-04  -8.069e-03  -5.095e-01
  336  -7.899e-06  -8.702e-03  -5.128e-01
  337  -2.749e-05  -9.100e-03  -5.148e-01
  338   0.000e+00  -9.235e-03  -5.155e-01
  339   7.031e-01  -2.339e-04  -2.858e-02
  340   6.593e-01  -7.734e-03  -6.196e-02
  341   5.975e-01  -2.632e-02  -1.125e-01
  342   5.248e-01  -5.758e-02  -1.762e-01
  343   4.467e-01  -1.019e-01  -2.497e-01
  344   3.676e-01  -1.585e-01  -3.295e-01
  345   2.914e-01  -2.259e-01  -4.125e-01
  346   2.212e-01  -3.017e-01  -4.957e-01
  347   1.592e-01  -3.830e-01  -5.764e-01
  348   1.071e-01  -4.667e-01  -6.520e-01
  349   6.573e-02  -5.491e-01  -7.202e-01
  350   3.526e-02  -6.265e-01  -7.791e-01
  351   1.513e-02  -6.948e-01  -8.269e-01
  352   3.998e-03  -7.500e-01  -8.621e-01
  353  -1.033e-04  -7.877e-01  -8.837e-01
  354   0.000e+00  -8.014e-01  -8.910e-01
  355   5.919e-01  -1.901e-04  -5.024e-02
  356   5.581e-01  -5.838e-03  -8.068e-02
  357   5.084e-01  -2.053e-02  -1.278e-01
  358   4.483e-01  -4.606e-02  -1.881e-01
  359   3.826e-01  -8.294e-02  -2.583e-01
  360   3.154e-01  -1.307e-01  -3.351e-01
  361   2.502e-01  -1.879e-01  -4.154e-01
  362   1.897e-01  -2.527e-01  -4.963e-01
  363   1.363e-01  -3.224e-01  -5.751e-01
  364   9.131e-02  -3.941e-01  -6.492e-01
  365   5.571e-02  -4.645e-01  -7.164e-01
  366   2.963e-02  -5.301e-01  -7.745e-01
  367   1.257e-02  -5.874e-01  -8.219e-01
  368   3.327e-03  -6.327e-01  -8.570e-01
  369   9.103e-06  -6.623e-01  -8.786e-01
  370   0.000e+00  -6.726e-01  -8.859e-01
